,id,location,Zip,Type,Subtype,Price,Transaction Type,Bedrooms,Living area,Kitchen type,Furnished,How many fireplaces?,Terrace,Terrace surface,Garden,Garden surface,Surface of the plot,Number of frontages,Swimming pool,Building condition
1,10578809,liedekerke,1770,house,house,349000,for sale,3.0,180  m² square meters,Hyper equipped,No,nan,nan,25  m²  square meters,nan,150  m²  square meters,256  m²  square meters,2.0,nan,As new
2,10578941,sint-andries,8200,house,house,625000,for sale,3.0,185  m² square meters,Hyper equipped,No,nan,nan,nan,nan,400  m²  square meters,539  m²  square meters,3.0,No,As new
3,10577515,seraing,4100,house,house,149000,for sale,2.0,105  m² square meters,Semi equipped,No,nan,Yes,nan,nan,25  m²  square meters,105  m²  square meters,2.0,nan,Good
4,10577846,andenne,5300,house,house,335000,for sale,4.0,209  m² square meters,Installed,nan,nan,Yes,nan,Yes,nan,2185  m²  square meters,4.0,nan,Good
6,10523130,forest,1190,house,house,545000,for sale,4.0,254  m² square meters,USA installed,nan,nan,nan,45  m²  square meters,nan,nan,260  m²  square meters,2.0,No,To be done up
7,10576930,laeken,1020,house,apartment block,730000,for sale,6.0,300  m² square meters,Hyper equipped,nan,nan,nan,10  m²  square meters,nan,320  m²  square meters,506  m²  square meters,2.0,No,To be done up
8,10579000,nevele%20merendree,9850,house,house,460000,for sale,4.0,165  m² square meters,USA hyper equipped,No,nan,nan,25  m²  square meters,nan,110  m²  square meters,196  m²  square meters,3.0,No,As new
9,10576317,herstal,4040,house,house,164000,for sale,4.0,167  m² square meters,Installed,No,nan,nan,80  m²  square meters,nan,nan,90  m²  square meters,3.0,No,Good
10,10576319,oupeye,4680,house,house,234000,for sale,4.0,173  m² square meters,Installed,No,nan,nan,38  m²  square meters,nan,300  m²  square meters,513  m²  square meters,3.0,No,Good
11,10576147,ronse,9600,house,house,265000,for sale,4.0,168  m² square meters,Installed,No,nan,nan,20  m²  square meters,nan,82  m²  square meters,182  m²  square meters,2.0,No,Just renovated
12,10572904,welkenraedt,4841,house,apartment block,235000,for sale,5.0,230  m² square meters,USA installed,No,nan,nan,nan,nan,339  m²  square meters,432  m²  square meters,3.0,No,Good
13,10572903,welkenraedt,4841,house,house,235000,for sale,5.0,230  m² square meters,Not installed,No,nan,nan,nan,nan,339  m²  square meters,432  m²  square meters,3.0,No,Good
14,10574972,antwerp,2060,house,house,239000,for sale,5.0,150  m² square meters,Installed,nan,nan,nan,5  m²  square meters,nan,nan,56  m²  square meters,2.0,nan,To be done up
15,10572509,wortegem-petegem,9790,house,house,274000,for sale,4.0,145  m² square meters,Hyper equipped,No,nan,nan,25  m²  square meters,nan,180  m²  square meters,270  m²  square meters,2.0,No,Good
16,10572508,ronse,9600,house,villa,419000,for sale,5.0,202  m² square meters,Installed,No,nan,nan,20  m²  square meters,nan,850  m²  square meters,1541  m²  square meters,4.0,No,Good
20,10572922,kampenhout,1910,house,exceptional property,750000,for sale,4.0,306  m² square meters,Hyper equipped,nan,nan,nan,28  m²  square meters,nan,nan,3113  m²  square meters,3.0,Yes,Good
22,10570096,ronse,9600,house,house,249000,for sale,4.0,169  m² square meters,Installed,No,nan,nan,25  m²  square meters,nan,85  m²  square meters,190  m²  square meters,2.0,No,As new
23,10571609,noiseux,5377,house,house,259000,for sale,3.0,180  m² square meters,Installed,nan,nan,nan,61  m²  square meters,nan,431  m²  square meters,542  m²  square meters,2.0,No,Good
24,10571092,tienen,3300,house,house,279000,for sale,3.0,140  m² square meters,Installed,nan,nan,nan,20  m²  square meters,nan,115  m²  square meters,175  m²  square meters,2.0,nan,Good
25,10570091,berloz,4257,house,house,300000,for sale,3.0,190  m² square meters,Installed,No,nan,nan,30  m²  square meters,nan,430  m²  square meters,659  m²  square meters,2.0,nan,Good
26,10570109,wezembeek-oppem,1970,house,house,349000,for sale,3.0,80  m² square meters,Installed,No,nan,nan,28  m²  square meters,nan,60  m²  square meters,170  m²  square meters,3.0,No,To be done up
27,10570097,ronse,9600,house,mixed use building,375000,for sale,6.0,235  m² square meters,Semi equipped,No,nan,nan,20  m²  square meters,nan,350  m²  square meters,650  m²  square meters,3.0,No,To be done up
30,10569847,herstal,4040,house,mixed use building,575000,for sale,3.0,136  m² square meters,Not installed,No,nan,nan,14  m²  square meters,nan,nan,2209  m²  square meters,3.0,No,To be done up
31,10569863,mechelen,2800,house,mansion,850000,for sale,7.0,370  m² square meters,Installed,nan,nan,nan,50  m²  square meters,nan,1060  m²  square meters,1269  m²  square meters,4.0,nan,To renovate
32,10578381,wezembeek-oppem,1970,house,villa,775000,for sale,3.0,200  m² square meters,Hyper equipped,No,nan,Yes,nan,nan,nan,669  m²  square meters,4.0,No,Good
33,10578737,zaventem,1930,house,mixed use building,990000,for sale,5.0,490  m² square meters,Hyper equipped,nan,nan,nan,70  m²  square meters,nan,800  m²  square meters,985  m²  square meters,3.0,nan,As new
34,10578736,zaventem,1930,house,house,990000,for sale,7.0,490  m² square meters,Hyper equipped,nan,nan,nan,70  m²  square meters,nan,800  m²  square meters,985  m²  square meters,3.0,nan,As new
35,10437329,saint-hubert,6870,house,house,99000,for sale,2.0,81  m² square meters,Semi equipped,No,nan,Yes,nan,nan,nan,65  m²  square meters,2.0,No,To be done up
36,10568915,nassogne,6950,house,apartment block,325000,for sale,4.0,235  m² square meters,USA semi equipped,No,nan,nan,nan,nan,nan,122  m²  square meters,2.0,No,Good
37,10567484,libramont-chevigny,6800,house,villa,329000,for sale,5.0,140  m² square meters,Semi equipped,No,nan,nan,800  m²  square meters,nan,200  m²  square meters,1011  m²  square meters,4.0,No,To renovate
38,10567419,gent,9000,house,house,335000,for sale,3.0,154  m² square meters,USA semi equipped,No,nan,nan,nan,nan,8  m²  square meters,55  m²  square meters,2.0,No,To be done up
42,10567511,watermael-boitsfort,1170,house,house,499500,for sale,3.0,138  m² square meters,USA installed,No,nan,nan,20  m²  square meters,nan,50  m²  square meters,100  m²  square meters,2.0,No,Good
43,10576931,laeken,1020,house,mixed use building,425000,for sale,2.0,100  m² square meters,USA semi equipped,No,nan,nan,nan,nan,nan,52  m²  square meters,2.0,nan,To be done up
44,10577007,halle,1500,house,house,590000,for sale,3.0,175  m² square meters,Installed,nan,nan,Yes,nan,nan,nan,562  m²  square meters,4.0,nan,Good
45,10577008,buizingen,1501,house,house,590000,for sale,3.0,175  m² square meters,Installed,nan,nan,Yes,nan,nan,nan,562  m²  square meters,4.0,nan,Good
46,10576363,beersel,1653,house,country cottage,295000,for sale,3.0,120  m² square meters,Installed,No,nan,nan,nan,nan,280  m²  square meters,403  m²  square meters,3.0,No,To renovate
47,10576481,desselgem,8792,house,villa,419000,for sale,3.0,185  m² square meters,Installed,nan,nan,Yes,nan,nan,nan,558  m²  square meters,4.0,nan,Good
48,10575505,bassevelde,9968,house,country cottage,749000,for sale,4.0,296  m² square meters,Installed,No,2.0,nan,nan,nan,350  m²  square meters,23417  m²  square meters,4.0,No,To renovate
49,10576156,rixensart,1330,house,house,795000,for sale,4.0,225  m² square meters,Hyper equipped,No,nan,Yes,nan,nan,nan,2000  m²  square meters,4.0,No,Good
50,10576001,tervuren,3080,house,house,1330000,for sale,5.0,520  m² square meters,USA hyper equipped,No,nan,Yes,nan,nan,nan,4000  m²  square meters,4.0,Yes,Good
51,10578380,kraainem,1950,house,house,895000,for sale,5.0,250  m² square meters,USA hyper equipped,nan,nan,nan,25  m²  square meters,nan,728  m²  square meters,818  m²  square meters,3.0,No,As new
52,10566398,puurs,2870,house,mansion,439000,for sale,4.0,282  m² square meters,Installed,nan,nan,nan,40  m²  square meters,Yes,nan,497  m²  square meters,2.0,nan,To be done up
53,10566078,ninove,9400,house,mansion,615000,for sale,5.0,450  m² square meters,Installed,No,nan,Yes,nan,nan,1100  m²  square meters,1260  m²  square meters,4.0,No,Good
54,10522729,herent,3020,house,villa,645000,for sale,5.0,339  m² square meters,Installed,nan,nan,nan,13  m²  square meters,nan,580  m²  square meters,794  m²  square meters,4.0,No,As new
55,10572641,dilbeek,1700,house,house,279000,for sale,3.0,135  m² square meters,Semi equipped,No,nan,Yes,nan,nan,nan,205  m²  square meters,2.0,nan,To renovate
56,10574035,halle,1500,house,house,359000,for sale,3.0,110  m² square meters,Installed,nan,nan,nan,nan,nan,nan,264  m²  square meters,2.0,nan,Good
57,10573603,huy,4500,house,house,395000,for sale,3.0,229  m² square meters,Installed,nan,nan,nan,35  m²  square meters,nan,586  m²  square meters,770  m²  square meters,2.0,nan,As new
58,10574320,bruxelles,1120,house,house,429000,for sale,4.0,180  m² square meters,Installed,No,nan,nan,33  m²  square meters,nan,120  m²  square meters,260  m²  square meters,2.0,No,To be done up
59,10057683,roosdaal,1760,house,mixed use building,460000,for sale,5.0,377  m² square meters,Hyper equipped,No,nan,Yes,nan,nan,nan,975  m²  square meters,3.0,No,Good
60,10574952,waregem,8790,house,house,495000,for sale,3.0,220  m² square meters,Hyper equipped,nan,nan,Yes,nan,nan,nan,594  m²  square meters,3.0,nan,Good
61,10573517,auderghem,1160,house,house,549000,for sale,5.0,200  m² square meters,Installed,No,nan,nan,18  m²  square meters,nan,nan,94  m²  square meters,3.0,No,Good
62,10574546,waterloo,1410,house,villa,595000,for sale,4.0,151  m² square meters,Installed,No,nan,Yes,nan,nan,460  m²  square meters,544  m²  square meters,4.0,Yes,Good
63,10574203,anderlecht,1070,house,exceptional property,1995000,for sale,5.0,700  m² square meters,USA hyper equipped,No,nan,nan,175  m²  square meters,nan,300  m²  square meters,2500  m²  square meters,4.0,No,As new
64,10564022,liege,4000,house,house,99000,for sale,4.0,123  m² square meters,Not installed,No,nan,nan,nan,nan,nan,60  m²  square meters,3.0,No,To renovate
65,10564982,antwerp,2060,house,mixed use building,169000,for sale,2.0,61  m² square meters,Installed,nan,nan,nan,nan,nan,nan,60  m²  square meters,3.0,nan,Just renovated
66,10564986,antwerp,2060,house,mixed use building,199000,for sale,2.0,95  m² square meters,Installed,nan,nan,nan,4  m²  square meters,nan,nan,253  m²  square meters,2.0,nan,Good
67,10193358,nivelles,1400,house,mansion,360000,for sale,4.0,207  m² square meters,Installed,No,nan,Yes,nan,nan,518  m²  square meters,608  m²  square meters,2.0,nan,To be done up
68,10563785,donceel,4357,house,house,425000,for sale,4.0,330  m² square meters,Installed,No,nan,nan,120  m²  square meters,nan,850  m²  square meters,1570  m²  square meters,4.0,nan,Good
69,10564815,jodoigne,1370,house,house,639000,for sale,4.0,272  m² square meters,Hyper equipped,No,nan,nan,50  m²  square meters,nan,2200  m²  square meters,3370  m²  square meters,4.0,Yes,As new
70,10570495,ottignies-louvain-la-neuve,1348,house,house,475000,for sale,3.0,123  m² square meters,USA installed,nan,nan,nan,32  m²  square meters,nan,195  m²  square meters,253  m²  square meters,2.0,nan,Good
71,10571758,wetteren,9230,house,exceptional property,690000,for sale,7.0,405  m² square meters,Installed,Yes,nan,nan,nan,nan,4534  m²  square meters,4534  m²  square meters,4.0,nan,To renovate
72,10569827,liege,4000,house,house,750000,for sale,5.0,279  m² square meters,Installed,No,nan,Yes,nan,nan,nan,596  m²  square meters,3.0,nan,To be done up
73,10569850,schaerbeek,1030,house,house,895000,for sale,5.0,310  m² square meters,Hyper equipped,No,nan,nan,1  m²  square meter,nan,50  m²  square meters,124  m²  square meters,2.0,No,As new
74,10576318,li%C3%A8ge%20wandre,4020,house,house,59000,for sale,4.0,144  m² square meters,Not installed,No,nan,nan,nan,nan,nan,80  m²  square meters,2.0,nan,To renovate
75,10561682,beveren,9120,house,house,235000,for sale,3.0,155  m² square meters,Semi equipped,No,nan,nan,15  m²  square meters,nan,115  m²  square meters,228  m²  square meters,2.0,No,To renovate
78,10561076,andenne,5300,house,villa,440000,for sale,3.0,195  m² square meters,Installed,No,nan,nan,30  m²  square meters,nan,515  m²  square meters,870  m²  square meters,4.0,nan,As new
79,10560729,woluwe-saint-lambert,1200,house,house,620000,for sale,4.0,187  m² square meters,Installed,No,nan,nan,20  m²  square meters,nan,70  m²  square meters,130  m²  square meters,2.0,No,Good
80,10568406,jemeppe,4101,house,house,239500,for sale,3.0,143  m² square meters,Installed,nan,nan,nan,nan,Yes,nan,493  m²  square meters,3.0,nan,Good
81,10567812,jemeppe,4101,house,house,239500,for sale,3.0,143  m² square meters,Installed,nan,nan,nan,nan,Yes,nan,493  m²  square meters,3.0,nan,Good
82,10568904,nossegem,1930,house,house,715000,for sale,5.0,310  m² square meters,Hyper equipped,nan,1.0,nan,50  m²  square meters,nan,989  m²  square meters,1200  m²  square meters,2.0,No,As new
83,10574391,gembloux,5030,house,house,275000,for sale,4.0,161  m² square meters,Installed,nan,1.0,nan,nan,nan,673  m²  square meters,875  m²  square meters,2.0,nan,Good
84,10574079,wandre,4020,house,villa,460000,for sale,5.0,328  m² square meters,Installed,No,nan,nan,nan,nan,nan,1440  m²  square meters,4.0,nan,As new
85,10576938,villers-la-ville,1495,house,house,325000,for sale,3.0,125  m² square meters,USA semi equipped,No,nan,nan,8  m²  square meters,nan,nan,70  m²  square meters,2.0,nan,As new
86,10512618,pont-a-celles,6230,house,house,160000,for sale,2.0,130  m² square meters,Installed,No,nan,nan,18  m²  square meters,nan,110  m²  square meters,250  m²  square meters,2.0,No,Good
87,10579072,ronse,9600,house,house,175000,for sale,4.0,194  m² square meters,Semi equipped,No,nan,nan,20  m²  square meters,nan,100  m²  square meters,200  m²  square meters,2.0,No,To be done up
88,10579070,ellezelles,7890,house,bungalow,349500,for sale,4.0,185  m² square meters,Semi equipped,No,nan,nan,40  m²  square meters,nan,800  m²  square meters,1204  m²  square meters,4.0,No,Good
89,10579240,schaerbeek,1030,house,house,850000,for sale,5.0,300  m² square meters,Hyper equipped,No,nan,Yes,nan,nan,100  m²  square meters,180  m²  square meters,2.0,nan,As new
90,10557728,oupeye,4680,house,house,219000,for sale,4.0,185  m² square meters,Installed,No,nan,nan,72  m²  square meters,nan,nan,205  m²  square meters,3.0,No,Good
91,10557227,seraing,4100,house,house,244000,for sale,4.0,125  m² square meters,Installed,No,nan,nan,108  m²  square meters,nan,28  m²  square meters,229  m²  square meters,2.0,No,Good
94,10559699,anderlecht,1070,house,house,425000,for sale,3.0,180  m² square meters,Hyper equipped,No,nan,nan,nan,nan,70  m²  square meters,154  m²  square meters,3.0,No,Good
95,10557110,rixensart,1330,house,house,425000,for sale,3.0,173  m² square meters,Semi equipped,No,nan,nan,15  m²  square meters,nan,333  m²  square meters,428  m²  square meters,3.0,No,To renovate
97,10557112,rixensart,1330,house,villa,499000,for sale,6.0,185  m² square meters,Installed,No,nan,nan,21  m²  square meters,nan,206  m²  square meters,302  m²  square meters,4.0,No,To be done up
99,10557403,aalst,9300,house,mixed use building,850000,for sale,8.0,1264  m² square meters,Installed,No,nan,Yes,nan,nan,nan,430  m²  square meters,2.0,No,To renovate
100,10570483,koksijde,8670,house,house,750000,for sale,5.0,170  m² square meters,Hyper equipped,Yes,nan,nan,30  m²  square meters,nan,60  m²  square meters,266  m²  square meters,3.0,nan,As new
101,10576597,halle,1500,house,house,845000,for sale,4.0,253  m² square meters,Installed,nan,nan,Yes,nan,nan,550  m²  square meters,1170  m²  square meters,3.0,nan,Just renovated
102,10578398,charleroi,6042,house,house,135000,for sale,3.0,103  m² square meters,USA semi equipped,No,nan,Yes,nan,nan,nan,80  m²  square meters,2.0,No,Good
103,10578301,wichelen,9260,house,house,349000,for sale,2.0,150  m² square meters,Hyper equipped,nan,nan,nan,90  m²  square meters,nan,90  m²  square meters,240  m²  square meters,3.0,nan,As new
104,10578389,menen,8930,house,house,365000,for sale,5.0,250  m² square meters,Semi equipped,No,nan,nan,35  m²  square meters,nan,700  m²  square meters,970  m²  square meters,4.0,No,Good
106,10417975,gooik,1755,house,house,399000,for sale,3.0,180  m² square meters,Semi equipped,nan,nan,nan,24  m²  square meters,nan,nan,1150  m²  square meters,4.0,nan,To be done up
107,10554707,ixelles,1050,house,house,899000,for sale,4.0,282  m² square meters,Installed,No,nan,nan,nan,nan,80  m²  square meters,163  m²  square meters,2.0,nan,To be done up
108,10566274,beveren%20melsele,9120,house,house,349000,for sale,3.0,154  m² square meters,Installed,No,nan,nan,25  m²  square meters,nan,350  m²  square meters,622  m²  square meters,4.0,No,Good
109,10566163,kortrijk,8500,house,villa,1275000,for sale,5.0,456  m² square meters,Installed,No,nan,nan,70  m²  square meters,nan,900  m²  square meters,1681  m²  square meters,4.0,No,As new
110,10482344,overijse,3090,house,villa,710000,for sale,5.0,260  m² square meters,Semi equipped,No,nan,Yes,nan,nan,557  m²  square meters,675  m²  square meters,4.0,No,To be done up
111,10574937,steenokkerzeel,1820,house,house,435000,for sale,3.0,194  m² square meters,Semi equipped,nan,1.0,nan,30  m²  square meters,nan,115  m²  square meters,350  m²  square meters,3.0,nan,Just renovated
112,10574163,waterloo,1410,house,villa,695000,for sale,5.0,252  m² square meters,Hyper equipped,No,1.0,nan,40  m²  square meters,nan,450  m²  square meters,786  m²  square meters,4.0,nan,To be done up
113,10572558,waterloo,1410,house,house,735000,for sale,3.0,170  m² square meters,USA installed,No,nan,nan,12  m²  square meters,nan,1200  m²  square meters,1200  m²  square meters,4.0,nan,Good
114,10573814,nivelles,1400,house,mixed use building,950000,for sale,7.0,1137  m² square meters,nan,No,nan,Yes,nan,nan,nan,674  m²  square meters,2.0,No,Good
115,10577592,halanzy,6792,house,house,235000,for sale,3.0,135  m² square meters,Semi equipped,nan,nan,nan,nan,Yes,nan,580  m²  square meters,4.0,nan,To renovate
116,10577525,ottignies-louvain-la-neuve,1340,house,villa,650000,for sale,4.0,248  m² square meters,USA hyper equipped,No,nan,nan,100  m²  square meters,nan,666  m²  square meters,1115  m²  square meters,4.0,Yes,Good
117,10553399,clavier-station,4560,house,house,299000,for sale,4.0,262  m² square meters,Installed,nan,nan,nan,60  m²  square meters,nan,547  m²  square meters,739  m²  square meters,4.0,nan,Good
119,10552972,hotton,6990,house,villa,365000,for sale,3.0,162  m² square meters,Installed,No,nan,nan,30  m²  square meters,nan,1039  m²  square meters,1039  m²  square meters,4.0,Yes,As new
120,10555241,steenokkerzeel,1820,house,bungalow,425000,for sale,3.0,140  m² square meters,USA installed,No,nan,nan,24  m²  square meters,nan,260  m²  square meters,800  m²  square meters,4.0,No,To be done up
122,10564525,jehay,4540,house,house,295000,for sale,2.0,130  m² square meters,Hyper equipped,nan,1.0,nan,100  m²  square meters,nan,1700  m²  square meters,2041  m²  square meters,4.0,nan,As new
123,10441256,halle,1500,house,house,299000,for sale,3.0,160  m² square meters,Semi equipped,nan,nan,Yes,nan,nan,nan,298  m²  square meters,2.0,nan,To be done up
124,10564281,arlon,6700,house,house,350000,for sale,5.0,234  m² square meters,nan,nan,nan,nan,9  m²  square meters,nan,291  m²  square meters,406  m²  square meters,2.0,No,To be done up
125,10547309,gavere,9890,house,house,352500,for sale,3.0,144  m² square meters,Hyper equipped,No,nan,nan,12  m²  square meters,nan,35  m²  square meters,191  m²  square meters,3.0,No,As new
126,10547307,gavere,9890,house,house,358500,for sale,3.0,152  m² square meters,Hyper equipped,No,nan,nan,12  m²  square meters,nan,44  m²  square meters,208  m²  square meters,3.0,No,As new
127,10565183,walshoutem,3401,house,villa,439000,for sale,3.0,157  m² square meters,Not installed,nan,nan,nan,32  m²  square meters,nan,nan,1796  m²  square meters,4.0,nan,Good
128,10564486,jette,1090,house,house,469000,for sale,4.0,171  m² square meters,Installed,No,nan,nan,nan,nan,42  m²  square meters,112  m²  square meters,2.0,nan,Good
129,10563818,oud-heverlee,3053,house,house,495000,for sale,4.0,165  m² square meters,Installed,No,nan,Yes,nan,nan,647  m²  square meters,647  m²  square meters,4.0,nan,Good
130,10564997,waregem,8790,house,villa,585000,for sale,5.0,220  m² square meters,Installed,nan,1.0,Yes,nan,nan,nan,729  m²  square meters,4.0,nan,Good
131,10566137,waterloo,1410,house,villa,595000,for sale,3.0,215  m² square meters,Installed,nan,nan,Yes,nan,nan,1100  m²  square meters,1284  m²  square meters,4.0,No,To renovate
132,10563351,thimister-clermont,4890,house,house,599000,for sale,5.0,286  m² square meters,Installed,No,nan,Yes,nan,nan,1334  m²  square meters,1334  m²  square meters,4.0,nan,Good
133,10565102,gooik,1755,house,house,695000,for sale,4.0,240  m² square meters,Installed,nan,nan,Yes,nan,nan,nan,1040  m²  square meters,4.0,nan,Good
134,10566240,kraainem,1950,house,house,1250000,for sale,5.0,264  m² square meters,Installed,No,nan,nan,15  m²  square meters,nan,800  m²  square meters,1375  m²  square meters,4.0,nan,Good
135,10564829,kraainem,1950,house,house,1250000,for sale,5.0,264  m² square meters,Installed,nan,1.0,nan,11  m²  square meters,nan,800  m²  square meters,1375  m²  square meters,4.0,nan,Good
136,10571664,pipaix,7904,house,house,330000,for sale,6.0,300  m² square meters,Installed,nan,nan,nan,nan,nan,nan,744  m²  square meters,4.0,nan,Good
137,10431562,gooik,1755,house,house,459000,for sale,3.0,322  m² square meters,Installed,nan,nan,nan,20  m²  square meters,Yes,nan,861  m²  square meters,4.0,nan,Good
138,10570799,gavere,9890,house,house,895000,for sale,6.0,350  m² square meters,Installed,nan,1.0,nan,30  m²  square meters,Yes,nan,626  m²  square meters,4.0,Yes,As new
139,10576320,vis%C3%A9,4600,house,house,139000,for sale,2.0,106  m² square meters,Semi equipped,No,nan,nan,7  m²  square meters,nan,70  m²  square meters,284  m²  square meters,2.0,No,To be done up
140,10575697,gent,9000,house,house,345000,for sale,3.0,119  m² square meters,Installed,nan,nan,nan,nan,nan,nan,50  m²  square meters,3.0,nan,To restore
141,10576725,gent,9000,house,house,354000,for sale,3.0,163  m² square meters,Semi equipped,nan,nan,nan,nan,Yes,nan,330  m²  square meters,3.0,nan,To renovate
142,10575935,seneffe,7180,house,apartment block,555000,for sale,7.0,383  m² square meters,Semi equipped,No,nan,nan,50  m²  square meters,nan,500  m²  square meters,711  m²  square meters,2.0,Yes,To be done up
143,10538585,jumet,6040,house,house,210000,for sale,2.0,100  m² square meters,Hyper equipped,nan,nan,nan,nan,nan,60  m²  square meters,265  m²  square meters,1.0,nan,Just renovated
144,10561864,seraing,4102,house,house,240000,for sale,3.0,180  m² square meters,Installed,nan,1.0,nan,nan,nan,55  m²  square meters,150  m²  square meters,3.0,nan,To be done up
145,10561649,anderlecht,1070,house,house,345000,for sale,3.0,157  m² square meters,Hyper equipped,No,nan,nan,8  m²  square meters,nan,nan,70  m²  square meters,2.0,No,Good
146,10560702,rixensart%20genval,1332,house,villa,349000,for sale,3.0,112  m² square meters,Installed,No,nan,nan,50  m²  square meters,nan,897  m²  square meters,984  m²  square meters,4.0,No,To be done up
147,10562353,gooik,1755,house,house,349000,for sale,1.0,150  m² square meters,Semi equipped,nan,nan,Yes,nan,nan,nan,798  m²  square meters,4.0,nan,To be done up
148,10562576,londerzeel,1840,house,house,425000,for sale,3.0,190  m² square meters,Installed,nan,nan,nan,195  m²  square meters,nan,450  m²  square meters,814  m²  square meters,4.0,nan,Good
149,10522666,gooik,1755,house,house,449000,for sale,3.0,185  m² square meters,Installed,nan,nan,Yes,nan,nan,nan,2592  m²  square meters,4.0,nan,To be done up
150,10561440,ixelles,1050,house,house,497000,for sale,4.0,185  m² square meters,Installed,No,nan,nan,4  m²  square meters,nan,49  m²  square meters,185  m²  square meters,2.0,No,To renovate
151,10562536,anderlecht,1070,house,house,510000,for sale,3.0,235  m² square meters,Installed,Yes,nan,nan,15  m²  square meters,nan,75  m²  square meters,238  m²  square meters,3.0,No,As new
152,10561314,beersel,1650,house,house,695000,for sale,5.0,253  m² square meters,Semi equipped,nan,1.0,nan,nan,nan,nan,1375  m²  square meters,4.0,nan,To be done up
153,10560893,saint-gilles,1060,house,apartment block,795000,for sale,6.0,450  m² square meters,Not installed,nan,nan,nan,nan,nan,12  m²  square meters,190  m²  square meters,2.0,No,To renovate
154,10566214,ninove,9400,house,house,177500,for sale,2.0,114  m² square meters,Semi equipped,nan,nan,Yes,nan,nan,nan,174  m²  square meters,2.0,No,Good
155,10566254,oupeye,4682,house,house,339000,for sale,3.0,167  m² square meters,Hyper equipped,No,nan,nan,68  m²  square meters,nan,140  m²  square meters,347  m²  square meters,3.0,No,As new
156,10565759,schaerbeek,1030,house,apartment block,1200000,for sale,9.0,485  m² square meters,USA installed,No,nan,nan,32  m²  square meters,nan,58  m²  square meters,185  m²  square meters,2.0,No,As new
157,10569285,wezembeek-oppem,1970,house,house,650000,for sale,4.0,183  m² square meters,Hyper equipped,nan,nan,nan,1  m²  square meter,nan,1  m²  square meter,314  m²  square meters,3.0,No,As new
158,10567909,grandmetz,7900,house,villa,690000,for sale,4.0,360  m² square meters,Installed,nan,1.0,Yes,nan,nan,nan,6159  m²  square meters,4.0,nan,Good
159,10568427,braine-le-comte,7090,house,villa,725000,for sale,6.0,315  m² square meters,Hyper equipped,No,1.0,Yes,nan,Yes,nan,1588  m²  square meters,4.0,nan,Good
160,10569040,incourt,1315,house,villa,945000,for sale,4.0,254  m² square meters,USA hyper equipped,nan,nan,nan,28  m²  square meters,nan,2400  m²  square meters,2762  m²  square meters,4.0,No,As new
161,10572719,neufchateau,6840,house,mansion,210000,for sale,6.0,282  m² square meters,Not installed,No,nan,nan,47  m²  square meters,nan,nan,170  m²  square meters,3.0,nan,To renovate
162,10573731,bruxelles,1000,house,house,250000,for sale,4.0,75  m² square meters,Installed,No,nan,nan,nan,nan,nan,17  m²  square meters,2.0,nan,To restore
163,10573855,vosselare,9850,house,house,265000,for sale,3.0,145  m² square meters,Semi equipped,nan,nan,nan,nan,nan,650  m²  square meters,736  m²  square meters,4.0,nan,To restore
164,10572718,bekkevoort,3460,house,house,615000,for sale,6.0,260  m² square meters,Installed,nan,nan,nan,nan,Yes,nan,1482  m²  square meters,4.0,nan,Good
165,10572878,rixensart,1330,house,house,975000,for sale,5.0,300  m² square meters,Installed,No,nan,Yes,nan,nan,nan,1228  m²  square meters,4.0,Yes,Just renovated
166,10574994,ronse,9600,house,house,1150000,for sale,12.0,750  m² square meters,Installed,nan,nan,Yes,nan,nan,nan,276  m²  square meters,nan,nan,Good
167,10574991,ronse,9600,house,mixed use building,1150000,for sale,12.0,750  m² square meters,Installed,nan,nan,Yes,nan,nan,nan,276  m²  square meters,nan,nan,Good
168,10574996,ronse,9600,house,other property,1895000,for sale,8.0,550  m² square meters,Installed,nan,1.0,Yes,nan,nan,nan,5432  m²  square meters,4.0,nan,Good
169,10574992,ronse,9600,house,mansion,1895000,for sale,8.0,550  m² square meters,Installed,nan,1.0,Yes,nan,nan,nan,5432  m²  square meters,4.0,nan,Good
170,10306386,seraing%20ougr%C3%A9e,4102,house,house,70000,for sale,2.0,75  m² square meters,Not installed,No,nan,nan,nan,nan,220  m²  square meters,302  m²  square meters,3.0,nan,To renovate
171,10527351,huy,4500,house,house,89500,for sale,3.0,120  m² square meters,Semi equipped,nan,nan,nan,nan,nan,nan,55  m²  square meters,2.0,nan,To renovate
172,10459784,seraing,4100,house,house,125000,for sale,2.0,61  m² square meters,Installed,No,nan,nan,nan,nan,nan,50  m²  square meters,2.0,No,Good
173,10475954,seraing,4100,house,house,135000,for sale,2.0,87  m² square meters,Semi equipped,No,nan,nan,17  m²  square meters,nan,40  m²  square meters,120  m²  square meters,2.0,No,To be done up
174,10498768,liege,4000,house,house,139000,for sale,4.0,164  m² square meters,Not installed,No,nan,nan,65  m²  square meters,nan,199  m²  square meters,317  m²  square meters,3.0,No,To renovate
175,10547424,ronse,9600,house,house,139000,for sale,3.0,145  m² square meters,Semi equipped,No,nan,nan,nan,nan,230  m²  square meters,300  m²  square meters,2.0,No,To be done up
176,9893706,braine-le-chateau,1440,house,house,145000,for sale,2.0,64  m² square meters,Semi equipped,No,nan,nan,9  m²  square meters,nan,nan,43  m²  square meters,3.0,nan,To be done up
