,id,location,Zip,Type,Subtype,Price,Transaction Type,Bedrooms,Living area,Kitchen type,Furnished,How many fireplaces?,Terrace,Terrace surface,Garden,Garden surface,Surface of the plot,Number of frontages,Swimming pool,Building condition
19815,10520845,ganshoren,1083,apartment,apartment,179000,for sale,3.0,82  m² square meters,Not installed,No,nan,nan,2  m²  square meters,nan,nan,nan,3.0,nan,Good
19816,10533333,st-amandsberg,9040,apartment,apartment,180000,for sale,nan,55  m² square meters,nan,nan,nan,nan,nan,nan,nan,nan,2.0,No,Good
19817,10363396,oostende,8400,apartment,apartment,184000,for sale,1.0,nan,Installed,nan,nan,nan,1  m²  square meter,nan,nan,nan,nan,No,Good
19818,10474767,deurne,2100,apartment,apartment,185000,for sale,2.0,85  m² square meters,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,To renovate
19819,10395490,dour,7370,apartment,ground floor,185000,for sale,2.0,91  m² square meters,nan,nan,nan,nan,9  m²  square meters,nan,nan,nan,3.0,nan,As new
19820,10378199,izegem,8870,apartment,apartment,185000,for sale,3.0,nan,nan,No,nan,nan,nan,nan,nan,nan,2.0,nan,To be done up
19821,10237655,sint-denijs-westrem,9051,apartment,apartment,185000,for sale,2.0,90  m² square meters,nan,nan,nan,Yes,nan,nan,nan,nan,nan,Yes,nan
19822,10550600,deinze,9800,apartment,apartment,185000,for sale,1.0,65  m² square meters,Installed,No,nan,nan,nan,nan,nan,nan,2.0,nan,Good
19823,10461083,torhout,8820,apartment,apartment,189000,for sale,2.0,86  m² square meters,nan,nan,nan,nan,nan,nan,nan,nan,nan,No,nan
19824,10329977,eeklo,9900,apartment,ground floor,192500,for sale,2.0,100  m² square meters,Installed,No,nan,nan,nan,nan,nan,nan,2.0,No,As new
19825,10510693,oostende,8400,apartment,apartment,195000,for sale,1.0,50  m² square meters,nan,nan,nan,Yes,nan,nan,nan,nan,nan,No,nan
19826,10401913,ottignies-louvain-la-neuve,1348,apartment,apartment,199000,for sale,1.0,52  m² square meters,nan,nan,nan,nan,nan,nan,nan,nan,2.0,nan,Good
19827,10540043,gerpinnes,6280,apartment,triplex,199000,for sale,2.0,76  m² square meters,Installed,No,nan,nan,17  m²  square meters,nan,nan,nan,3.0,nan,nan
19828,10046027,blankenberge,8370,apartment,apartment,200000,for sale,2.0,65  m² square meters,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
19829,10405265,anderlecht,1070,apartment,ground floor,209000,for sale,1.0,120  m² square meters,USA hyper equipped,nan,nan,nan,nan,nan,65  m²  square meters,nan,2.0,No,As new
19830,10519647,antwerp,2000,apartment,apartment,210000,for sale,1.0,47  m² square meters,nan,nan,nan,Yes,nan,nan,nan,nan,2.0,nan,Good
19831,10151255,eeklo,9900,apartment,apartment,210000,for sale,2.0,nan,Hyper equipped,No,nan,nan,nan,nan,nan,nan,2.0,No,As new
19832,10533681,linkeroever,2050,apartment,apartment,215000,for sale,3.0,nan,nan,No,nan,Yes,nan,Yes,nan,nan,nan,No,nan
19833,10201363,middelkerke,8430,apartment,ground floor,215000,for sale,1.0,67  m² square meters,Installed,nan,nan,nan,11  m²  square meters,nan,nan,nan,2.0,nan,nan
19834,10522164,aalst,9300,apartment,apartment,215000,for sale,1.0,nan,Installed,nan,nan,Yes,nan,nan,nan,nan,nan,No,nan
19835,10506015,deux-acren,7864,apartment,apartment,220000,for sale,5.0,300  m² square meters,nan,No,nan,nan,nan,Yes,nan,nan,3.0,No,nan
19836,9891368,sint-denijs-westrem,9051,apartment,apartment,225000,for sale,2.0,104  m² square meters,nan,nan,nan,Yes,nan,Yes,nan,nan,nan,No,nan
19837,10267816,vilvoorde,1800,apartment,apartment,228534,for sale,1.0,74  m² square meters,nan,No,nan,nan,11  m²  square meters,nan,nan,nan,2.0,No,nan
19838,10533679,linkeroever,2050,apartment,apartment,229000,for sale,3.0,nan,nan,No,nan,nan,nan,nan,nan,nan,nan,No,As new
19839,10534440,saint-ghislain,7333,apartment,duplex,229000,for sale,2.0,120  m² square meters,nan,nan,nan,nan,27  m²  square meters,nan,nan,nan,3.0,nan,As new
19840,10541133,kampenhout,1910,apartment,apartment,230000,for sale,2.0,95  m² square meters,Installed,nan,nan,nan,10  m²  square meters,nan,nan,nan,3.0,nan,nan
19841,10267826,vilvoorde,1800,apartment,apartment,233437,for sale,1.0,74  m² square meters,nan,No,nan,nan,11  m²  square meters,nan,nan,nan,2.0,No,nan
19842,10321248,anderlecht,1070,apartment,ground floor,234999,for sale,2.0,97  m² square meters,Hyper equipped,No,nan,nan,13  m²  square meters,nan,nan,nan,2.0,No,Good
19843,10528966,laeken,1020,apartment,apartment,239000,for sale,2.0,nan,Semi equipped,No,nan,nan,nan,nan,40  m²  square meters,nan,2.0,No,To be done up
19844,10428603,wemmel,1780,apartment,duplex,240000,for sale,3.0,121  m² square meters,nan,nan,nan,Yes,nan,nan,nan,nan,nan,nan,Just renovated
19845,10483521,heist-aan-zee,8301,apartment,apartment,245000,for sale,1.0,46  m² square meters,nan,Yes,nan,nan,nan,Yes,nan,nan,2.0,No,As new
19846,10409506,bever,1547,apartment,apartment,249000,for sale,3.0,228  m² square meters,Installed,No,nan,nan,nan,nan,nan,nan,3.0,nan,To be done up
19847,10399996,uccle,1180,apartment,apartment,250000,for sale,2.0,92  m² square meters,Semi equipped,No,nan,nan,4  m²  square meters,nan,nan,nan,2.0,nan,To be done up
19848,10540044,gerpinnes,6280,apartment,ground floor,250000,for sale,2.0,80  m² square meters,Installed,No,nan,nan,17  m²  square meters,nan,nan,nan,3.0,nan,nan
19849,10388953,ensival,4800,apartment,apartment,264000,for sale,5.0,315  m² square meters,nan,nan,nan,Yes,nan,nan,nan,nan,2.0,nan,To renovate
19850,10337065,antwerpen%20hoboken,2660,apartment,apartment,265000,for sale,3.0,100  m² square meters,nan,nan,nan,Yes,nan,nan,nan,nan,2.0,nan,As new
19851,10262801,middelkerke,8430,apartment,apartment,265000,for sale,2.0,64  m² square meters,Installed,No,nan,nan,4  m²  square meters,nan,nan,nan,2.0,No,Good
19852,10125402,wingene,8750,apartment,apartment,265000,for sale,2.0,101  m² square meters,Installed,No,nan,nan,nan,nan,12  m²  square meters,nan,3.0,No,Good
19853,10278292,halle,1500,apartment,apartment,267500,for sale,2.0,93  m² square meters,Installed,No,nan,nan,20  m²  square meters,nan,nan,nan,2.0,No,As new
19854,10116537,koksijde,8670,apartment,apartment,269000,for sale,2.0,74  m² square meters,nan,Yes,nan,nan,nan,nan,nan,nan,2.0,nan,nan
19855,10369653,sint-lievens-houtem,9520,apartment,apartment,269000,for sale,2.0,102  m² square meters,nan,nan,nan,Yes,nan,nan,nan,nan,2.0,nan,As new
19856,10267881,vilvoorde,1800,apartment,apartment,271636,for sale,2.0,104  m² square meters,nan,No,nan,nan,8  m²  square meters,nan,nan,nan,2.0,No,nan
19857,10267924,vilvoorde,1800,apartment,apartment,273439,for sale,2.0,105  m² square meters,nan,No,nan,nan,10  m²  square meters,nan,nan,nan,2.0,No,nan
19858,10531173,hoboken,2660,apartment,apartment,274000,for sale,3.0,96  m² square meters,nan,nan,nan,Yes,nan,nan,nan,nan,nan,No,nan
