id,Neighbourhood or locality,location,Zip,Type,Subtype,Price,Transaction Type,Bedrooms,Living area,Kitchen type,Furnished,How many fireplaces?,Terrace,Terrace surface,Garden,Garden surface,Surface of the plot,Number of frontages,Swimming pool,Building condition
10492504,,rotselaar,3118,apartment,apartment,452500,for sale,3.0,123  m² square meters,Hyper equipped,No,,,19  m²  square meters,,,,,No,As new
10536379,,deerlijk,8540,apartment,apartment,455000,for sale,2.0,113  m² square meters,Hyper equipped,No,,,28  m²  square meters,,,,,No,
10002566,,middelkerke,8430,apartment,apartment,461704,for sale,3.0,101  m² square meters,,,,Yes,,Yes,,,,No,
10000438,,middelkerke,8430,apartment,apartment,479400,for sale,3.0,126  m² square meters,,,,Yes,,,,,,No,
10359138,,strombeek-bever,1853,apartment,apartment,479850,for sale,2.0,113  m² square meters,Installed,,,,19  m²  square meters,,28  m²  square meters,,4.0,,
10447204,'t Zuid,antwerp,2000,apartment,penthouse,485000,for sale,1.0,54  m² square meters,Installed,No,,Yes,,,,,,No,Good
9763425,,leuven,3000,apartment,apartment,485000,for sale,2.0,73  m² square meters,Installed,No,,,,,,,2.0,No,As new
10461689,,antwerp,2050,apartment,apartment,495000,for sale,1.0,305  m² square meters,Installed,No,,,27  m²  square meters,,,,,,Good
10463412,,koksijde,8670,apartment,apartment,498000,for sale,2.0,,,,,Yes,,Yes,,,,No,
10412496,,bruxelles,1000,apartment,apartment,530000,for sale,2.0,140  m² square meters,USA hyper equipped,No,,,12  m²  square meters,,,,2.0,,As new
10489837,,koksijde,8670,apartment,penthouse,549000,for sale,3.0,151  m² square meters,Installed,No,,,10  m²  square meters,,,,2.0,,
10377250,,rhode-saint-gen%C3%88se,1640,apartment,apartment,594500,for sale,3.0,141  m² square meters,USA hyper equipped,,,,21  m²  square meters,,40  m²  square meters,,4.0,,
10489060,,nieuwpoort,8620,apartment,apartment,695000,for sale,2.0,84  m² square meters,Installed,Yes,,Yes,,,,,,No,As new
10461251,,nieuwpoort,8620,apartment,apartment,695000,for sale,2.0,84  m² square meters,Installed,Yes,,Yes,,,,,,No,As new
10461160,,nieuwpoort,8620,apartment,apartment,695000,for sale,2.0,84  m² square meters,Installed,Yes,,Yes,,,,,,No,As new
10551742,,knokke-heist,8300,apartment,duplex,698000,for sale,2.0,87  m² square meters,Installed,,,,3  m²  square meters,,,,2.0,No,As new
10490420,,etterbeek,1040,apartment,apartment,735000,for sale,3.0,179  m² square meters,,No,,Yes,,,,,,No,
10547245,,knokke,8300,apartment,apartment,875000,for sale,3.0,158  m² square meters,Hyper equipped,No,,Yes,,,,,2.0,,Just renovated
10065391,,knokke-heist,8300,apartment,ground floor,980000,for sale,1.0,88  m² square meters,,No,,,,,,,2.0,No,Good
9635967,,knokke,8300,apartment,apartment,1045000,for sale,2.0,100  m² square meters,Installed,,,Yes,,,,,,No,
10429796,,knokke-heist,8300,apartment,apartment,1095000,for sale,1.0,56  m² square meters,,,1.0,Yes,,,,,,,Good
10457021,,leuven,3000,apartment,loft,1145000,for sale,2.0,155  m² square meters,Installed,No,,,20  m²  square meters,,,,2.0,No,As new
10279825,,knokke-zoute,8300,apartment,apartment,1190000,for sale,2.0,86  m² square meters,Hyper equipped,,,,,,,,,No,
10241526,,blankenberge,8370,apartment,apartment,1295000,for sale,7.0,409  m² square meters,,No,,Yes,,,,,2.0,No,Good
10505301,,knokke-heist,8300,apartment,penthouse,1350000,for sale,3.0,,,Yes,,,12  m²  square meters,,,,2.0,No,
10541464,,bruxelles,1000,apartment,apartment,1490000,for sale,3.0,284  m² square meters,Installed,,,,,,,,,,
10523616,,knokke-heist,8300,apartment,apartment,1750000,for sale,3.0,131  m² square meters,,No,,,,,,,,No,Just renovated
10545616,Knokke,knokke-heist,8300,apartment,apartment,1850000,for sale,3.0,125  m² square meters,USA semi equipped,,,,4  m²  square meters,,,,3.0,No,As new
8385058,,ixelles,1050,apartment,apartment,3297000,for sale,3.0,305  m² square meters,,No,,,166  m²  square meters,,,,,No,
10553491,,beauraing,5570,apartment,apartment,205000,for sale,1.0,70  m² square meters,Installed,No,,Yes,,,,,2.0,,As new
10553960,,jette,1090,apartment,ground floor,369000,for sale,2.0,105  m² square meters,USA hyper equipped,,,,,,95  m²  square meters,,2.0,No,As new
10573595,,geel,2440,apartment,apartment,95000,for sale,2.0,,,,,,,,,,2.0,,To renovate
10572649,Antwerpen,deurne,2100,apartment,duplex,199000,for sale,3.0,119  m² square meters,Installed,No,,,,,,,,,
10574136,,vosselaar,2350,apartment,ground floor,275000,for sale,2.0,91  m² square meters,,No,,,26  m²  square meters,,100  m²  square meters,,3.0,No,As new
10425540,,ravels,2380,apartment,penthouse,283000,for sale,3.0,180  m² square meters,,No,,,,,,,3.0,,
10575259,,gent,9000,apartment,apartment,350000,for sale,2.0,88  m² square meters,,,,Yes,,,,,,,
10574405,,gent,9000,apartment,apartment,363000,for sale,3.0,161  m² square meters,USA installed,No,,,,,,,3.0,,Good
10573684,Elsdonk,edegem,2650,apartment,ground floor,399900,for sale,3.0,110  m² square meters,Hyper equipped,,,,,,75  m²  square meters,,,,As new
10573767,,stoumont,4987,apartment,apartment,420000,for sale,4.0,126  m² square meters,USA installed,,,,17  m²  square meters,,112  m²  square meters,,4.0,,Good
10573760,,saint-gilles,1060,apartment,ground floor,575000,for sale,3.0,151  m² square meters,Installed,No,,,26  m²  square meters,,,,3.0,,
10559975,Resid. Albert Premier,berchem-sainte-agathe,1082,apartment,apartment,140000,for sale,2.0,,Installed,,,,,,,,,,
10559256,,oostende,8400,apartment,apartment,175000,for sale,2.0,,,,,,,,,,,,Good
10557809,,kraainem,1950,apartment,apartment,187500,for sale,1.0,,Installed,,,Yes,,,,,,,Good
10557808,,kraainem,1950,apartment,apartment,187500,for sale,1.0,,Installed,,,Yes,,,,,,,Good
10577031,,jette,1090,apartment,apartment,199000,for sale,1.0,76  m² square meters,,,,Yes,,,,,,,Good
10565904,,aywaille,4920,apartment,apartment,199500,for sale,1.0,61  m² square meters,,,,,10  m²  square meters,,,,,,As new
10565906,,aywaille,4920,apartment,penthouse,224500,for sale,1.0,64  m² square meters,,,,,9  m²  square meters,,,,,,As new
10417375,,moerbeke-waas,9180,apartment,apartment,285600,for sale,2.0,77  m² square meters,,No,,,17  m²  square meters,,,,,,
10576860,,gent,9000,apartment,apartment,335000,for sale,2.0,70  m² square meters,,No,,,,,,,,,
10565905,,aywaille,4920,apartment,penthouse,374500,for sale,3.0,111  m² square meters,,,,,19  m²  square meters,,,,,,As new
10577930,,knokke-heist,8300,apartment,apartment,525000,for sale,3.0,93  m² square meters,,,,,,,,,,,Good
10550791,,courcelles,6181,apartment,apartment,160000,for sale,1.0,60  m² square meters,Hyper equipped,No,,,8  m²  square meters,,,,4.0,No,As new
10409981,,sint-niklaas,9100,apartment,apartment,189000,for sale,3.0,89  m² square meters,,,,Yes,,,,,,No,As new
10550793,,courcelles,6181,apartment,apartment,195000,for sale,2.0,75  m² square meters,Hyper equipped,No,,,12  m²  square meters,,50  m²  square meters,,4.0,No,As new
10424983,,diksmuide,8600,apartment,apartment,195378,for sale,1.0,78  m² square meters,USA installed,No,,Yes,,Yes,,,,No,
